Full Title,Car Name,URL,Price (in Lakhs),Location,City,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine,Transmission,Power,Drive Type,Mileage,Year of Manufacture
2024 BMW X3 2022-2025 xDrive20d M Sport,BMW X3,https://www.cardekho.com/used-car-details/used-Bmw-x3-2022-2025-xdrive20d-m-sport-cars-Mumbai_8c8dd4de-7d12-4fe5-bbcd-e059669907c9.htm,69.99,"Borivali West, Mumbai",Mumbai,Apr 2024,Comprehensive,Diesel,5,8100,Mumbai,First Owner,1995,Automatic,187.74,4WD,N/A,2024
2019 Tata Nexon 1.2 Revotron XMA,Tata Nexon,https://www.cardekho.com/used-car-details/used-Tata-nexon-12-revotron-xma-cars-Mumbai_6e3269fb-7945-4f5c-841a-fdeac8d6c837.htm,6.0,"Antop Hill, Mumbai",Mumbai,Nov 2019,Third Party,Petrol,5,52243,Mumbai,First Owner,1198,Automatic,108.5,FWD,17.0,2019
2018 Jaguar F-Pace Prestige 2.0 AWD,Jaguar F-Pace,https://www.cardekho.com/used-car-details/used-Jaguar-f-pace-prestige-20-awd-cars-Mumbai_24e18ea9-b904-4e21-8e83-2bfbef50b7ce.htm,37.0,"Mulund West, Mumbai",Mumbai,Sept 2018,Expired,Diesel,5,61520,Mumbai,First Owner,1999,Automatic,177.0,FWD,16.38,2018
2016 Honda City i VTEC VX Option,Honda City,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-vx-option-cars-Mumbai_007f49ef-38c8-4561-991b-86784ffaab8f.htm?adId=917&adType=41,5.95,"Andheri West, Mumbai",Mumbai,Jan 2016,Expired,Petrol,5,75000,Mumbai,First Owner,1497,Manual,117.3,N/A,17.8,2016
2019 BMW X5 xDrive 30d xLine,BMW X5,https://www.cardekho.com/used-car-details/used-Bmw-x5-xdrive-30d-xline-cars-Mumbai_1b73f8f9-9212-4a6b-ae9e-5b2ef5c4eca4.htm,69.0,"Andheri West, Mumbai",Mumbai,Jan 2019,Third Party,Diesel,5,62000,Mumbai,First Owner,N/A,Automatic,N/A,N/A,N/A,2019
2018 Audi Q7 45 TDI Quattro Premium Plus,Audi Q7,https://www.cardekho.com/used-car-details/used-Audi-q7-45-tdi-quattro-premium-plus-cars-Thane_660cb62c-bea0-41aa-b12b-f8e2eb74bac7.htm,43.5,"West, Thane",Thane,Jan 2018,Expired,Diesel,7,60075,Mumbai,First Owner,2967,Automatic,245.0,AWD,14.75,2018
2023 BMW X3 2022-2025 xDrive20d Luxury Edition,BMW X3,https://www.cardekho.com/used-car-details/used-Bmw-x3-2022-2025-xdrive20d-luxury-edition-cars-Mumbai_bf73c714-eb11-4aa9-a1b9-a01556bec90a.htm,64.5,"Matunga West, Mumbai",Mumbai,Mar 2023,Comprehensive,Diesel,5,8500,Mumbai,First Owner,1995,Automatic,187.74,AWD,16.55,2023
2023 Mercedes-Benz A-Class Limousine A 200,Mercedes-Benz A-Class,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-limousine-a-200-cars-Chandigarh_a7f6276d-ada1-408a-b3c6-ece4086ce51e.htm?adId=undefined&adType=41,39.5,Chandigarh,Chandigarh,2023,Expired,Petrol,5,10000,Chandigarh,First Owner,1332,Automatic,160.92,FWD,N/A,2023
2019 Volvo XC 90 D5 Inscription,Volvo XC,https://www.cardekho.com/used-car-details/used-Volvo-xc-90-d5-inscription-cars-Chandigarh_3067a0e5-33ad-4fa0-bdcb-797fcbd351b2.htm,39.5,"Sector 46, Chandigarh",Chandigarh,Nov 2019,Third Party,Diesel,7,116000,Nalagarh,First Owner,1969,Automatic,235.0,AWD,17.2,2019
2023 Toyota Fortuner Legender 4x2 AT BSVI,Toyota Fortuner,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-legender-4x2-at-bsvi-cars-Chandigarh_bb2f3fee-92a2-483d-a282-658457e3116d.htm,43.0,"City Park, Chandigarh",Chandigarh,Feb 2024,Comprehensive,Diesel,7,5000,Chandigarh,First Owner,2755,Automatic,201.15,4X2,N/A,2023
